setpoint,current_arrival_rate,error_value,prefetch_count,new_prefetch_count
4500,2552.0655611727802,1948,1,7
4500,6866.297217010196,-2366,7,9
4500,7106.113763716085,-2606,9,9
4500,6813.851263537907,-2314,9,9
4500,6258.785823997181,-1759,9,9
4500,5140.467767166549,-640,9,9
4500,6354.3978789908815,-1854,9,9
4500,6267.14904761731,-1767,9,9
4500,6981.38784920423,-2481,9,9
4500,6779.12996833976,-2279,9,9
4500,7097.281260317936,-2597,9,9
4500,6676.253839454331,-2176,9,9
4500,6771.550920308118,-2272,9,9
4500,6641.958985629623,-2142,9,9
4500,6917.196206867391,-2417,9,9
4500,6751.464104259127,-2251,9,9
4500,7048.492123204317,-2548,9,9
4500,6858.678741926278,-2359,9,9
4500,6798.998865294646,-2299,9,9
4500,6906.163117109818,-2406,9,9
4500,6775.411153885492,-2275,9,9
4500,7019.69297077406,-2520,9,9
4500,7150.697633216604,-2651,9,9
4500,7182.797944985024,-2683,9,9
4500,6234.331444457578,-1734,9,9
4500,7166.936947828919,-2667,9,9
4500,6872.265644983557,-2372,9,9
4500,6551.604746963174,-2052,9,9
4500,6842.76035597881,-2343,9,9
4500,7031.552053454226,-2532,9,9
4500,6993.906287781388,-2494,9,9
4500,6563.235060917133,-2063,9,9
4500,7125.588447665824,-2626,9,9
4500,6718.269886905224,-2218,9,9
4500,6851.034500102173,-2351,9,9
4500,6670.293320648206,-2170,9,9
4500,7230.234196256065,-2730,9,9
4500,6322.139207305162,-1822,9,9
4500,6529.327145836252,-2029,9,9
4500,6790.740419376509,-2291,9,9
4500,6978.647429208814,-2479,9,9
4500,6966.94220039629,-2467,9,9
4500,6868.9533259463815,-2369,9,9
4500,5838.855035443868,-1339,9,9
