setpoint,current_arrival_rate,error_value,prefetch_count,new_prefetch_count
4500,2186.5314477716965,2313,1,1
4500,2252.71900681824,2247,1,1
4500,2207.3958483604456,2293,1,1
4500,2192.9566041474,2307,1,1
4500,2198.37179714642,2302,1,1
4500,2217.0745218772995,2283,1,1
4500,2190.7198779036353,2309,1,1
4500,2214.7973069509826,2285,1,1
4500,2181.931071789977,2318,1,1
4500,2205.520808927101,2294,1,1
4500,2170.6546131111218,2329,1,1
4500,2190.9751874634253,2309,1,1
4500,2213.3475463042014,2287,1,1
4500,2190.4694484561123,2310,1,1
4500,2208.0974203878977,2292,1,1
4500,2246.3291980934173,2254,1,1
4500,2236.8307240698205,2263,1,1
4500,2202.864076065349,2297,1,1
4500,2255.7305689772475,2244,1,1
4500,2210.4990513567227,2290,1,1
4500,2242.2535517484293,2258,1,1
4500,2162.763440912256,2337,1,1
4500,2197.481453217639,2303,1,1
4500,2206.1150544211177,2294,1,1
4500,2164.062025889133,2336,1,1
4500,2217.5697049274227,2282,1,1
4500,2222.692421984283,2277,1,1
4500,2187.0681923008606,2313,1,1
4500,2222.197774784409,2278,1,1
4500,2298.289641872913,2202,1,1
4500,2222.0773252226068,2278,1,1
4500,2211.783441829664,2288,1,1
4500,2261.9804234768458,2238,1,1
4500,2199.6214927345604,2300,1,1
4500,2231.986802751372,2268,1,1
4500,2210.1792382569342,2290,1,1
4500,2219.3054985136905,2281,1,1
4500,2195.0835668506625,2305,1,1
4500,2184.936967522366,2315,1,1
4500,2229.794843242173,2270,1,1
4500,2137.3000729216815,2363,1,1
4500,2219.407240369502,2281,1,1
4500,2206.6592130172107,2293,1,1
4500,2138.64488060198,2361,1,1
